record_id,week_no,date,work_centre,shift,planned_hrs,actual_hrs,utilization_pct,downtime_hrs,downtime_reason,delay_hrs,throughput_deviation_pct,overload_probability,operator_count,wc_status,scenario
WCU-02-2-WC-ASSM-03-Af,2,2026-01-13,WC-ASSM-03,Afternoon,8,7.46,63.5,0.54,Planned Maintenance,1.75,12,0,3,Active,NORMAL
WCU-02-2-WC-ASSM-03-Ni,2,2026-01-13,WC-ASSM-03,Night,8,7.89,74.62,0.11,None,0.11,-5,0,3,Active,NORMAL
WCU-02-3-WC-01-Mo,2,2026-01-14,WC-01,Morning,8,7.45,80.69,0.55,None,0.11,17,0,2,Active,NORMAL
WCU-02-3-WC-01-Af,2,2026-01-14,WC-01,Afternoon,8,7.15,90.6,0.85,Planned Maintenance,0.59,-1,0.26,3,Active,NORMAL
WCU-02-3-WC-01-Ni,2,2026-01-14,WC-01,Night,8,7.42,73.02,0.58,Planned Maintenance,1.46,0,0,2,Active,NORMAL
WCU-02-3-WC-04-Mo,2,2026-01-14,WC-04,Morning,8,7.17,58.32,0.83,None,0.09,1,0,1,Active,NORMAL
WCU-02-3-WC-04-Af,2,2026-01-14,WC-04,Afternoon,8,7.61,68.69,0.39,None,0.96,2,0,1,Active,NORMAL
WCU-02-3-WC-04-Ni,2,2026-01-14,WC-04,Night,8,7.51,87.72,0.49,Setup,0.47,12,0.22,2,Active,NORMAL
WCU-02-3-WC-07-Mo,2,2026-01-14,WC-07,Morning,8,7.99,76.83,0.01,None,1.04,20,0.03,4,Active,NORMAL
WCU-02-3-WC-07-Af,2,2026-01-14,WC-07,Afternoon,8,7.14,93.68,0.86,None,0.94,12,0.18,1,Active,NORMAL
WCU-02-3-WC-07-Ni,2,2026-01-14,WC-07,Night,8,7.65,77.72,0.35,None,0.41,14,0,4,Active,NORMAL
WCU-02-3-WC-09-Mo,2,2026-01-14,WC-09,Morning,8,7.26,89.55,0.74,Material Wait,0.23,8,0.17,2,Active,NORMAL
WCU-02-3-WC-09-Af,2,2026-01-14,WC-09,Afternoon,8,7.63,84.18,0.37,None,1.07,14,0.11,1,Active,NORMAL
WCU-02-3-WC-09-Ni,2,2026-01-14,WC-09,Night,8,7.95,61.26,0.05,None,0.39,12,0,1,Active,NORMAL
WCU-02-3-WC-12-Mo,2,2026-01-14,WC-12,Morning,8,7.6,80.8,0.4,Material Wait,1.64,2,0.08,4,Active,NORMAL
WCU-02-3-WC-12-Af,2,2026-01-14,WC-12,Afternoon,8,7.58,88.89,0.42,None,0.88,3,0.25,2,Active,NORMAL
WCU-02-3-WC-12-Ni,2,2026-01-14,WC-12,Night,8,7.78,90.27,0.22,Material Wait,1.61,13,0.12,4,Active,NORMAL
WCU-02-3-WC-15-Mo,2,2026-01-14,WC-15,Morning,8,7.56,88.79,0.44,Setup,1.52,7,0.16,4,Active,NORMAL
WCU-02-3-WC-15-Af,2,2026-01-14,WC-15,Afternoon,8,7.75,75.41,0.25,Material Wait,1.78,17,0,3,Active,NORMAL
WCU-02-3-WC-15-Ni,2,2026-01-14,WC-15,Night,8,7.81,92.96,0.19,None,0.29,16,0.35,4,Active,NORMAL
WCU-02-3-WC-ASSM-03-Mo,2,2026-01-14,WC-ASSM-03,Morning,8,7.38,76.91,0.62,Setup,1.38,6,0,4,Active,NORMAL
WCU-02-3-WC-ASSM-03-Af,2,2026-01-14,WC-ASSM-03,Afternoon,8,7.4,66.87,0.6,None,0.82,19,0,4,Active,NORMAL
WCU-02-3-WC-ASSM-03-Ni,2,2026-01-14,WC-ASSM-03,Night,8,7.37,75.97,0.63,Planned Maintenance,0.97,18,0,2,Active,NORMAL
WCU-02-4-WC-01-Mo,2,2026-01-15,WC-01,Morning,8,7.75,68.07,0.25,Setup,0.7,-4,0,2,Active,NORMAL
WCU-02-4-WC-01-Af,2,2026-01-15,WC-01,Afternoon,8,7.02,71.48,0.98,Material Wait,1.74,18,0,4,Active,NORMAL
WCU-02-4-WC-01-Ni,2,2026-01-15,WC-01,Night,8,7.11,93.29,0.89,None,0.37,-2,0.25,3,Active,NORMAL
WCU-02-4-WC-04-Mo,2,2026-01-15,WC-04,Morning,8,8.0,66.47,0.0,Planned Maintenance,0.66,-3,0,3,Active,NORMAL
WCU-02-4-WC-04-Af,2,2026-01-15,WC-04,Afternoon,8,7.5,62.1,0.5,Setup,0.74,18,0,2,Active,NORMAL
WCU-02-4-WC-04-Ni,2,2026-01-15,WC-04,Night,8,7.6,59.55,0.4,Planned Maintenance,0.17,12,0,2,Active,NORMAL
WCU-02-4-WC-07-Mo,2,2026-01-15,WC-07,Morning,8,7.24,73.67,0.76,None,1.05,17,0,4,Active,NORMAL
WCU-02-4-WC-07-Af,2,2026-01-15,WC-07,Afternoon,8,7.06,72.39,0.94,None,0.4,-1,0,1,Active,NORMAL
WCU-02-4-WC-07-Ni,2,2026-01-15,WC-07,Night,8,7.4,63.77,0.6,None,0.71,16,0,2,Active,NORMAL
WCU-02-4-WC-09-Mo,2,2026-01-15,WC-09,Morning,8,7.11,66.71,0.89,Planned Maintenance,1.54,7,0,3,Active,NORMAL
WCU-02-4-WC-09-Af,2,2026-01-15,WC-09,Afternoon,8,7.6,64.95,0.4,Setup,0.21,18,0,4,Active,NORMAL
WCU-02-4-WC-09-Ni,2,2026-01-15,WC-09,Night,8,7.05,86.49,0.95,Material Wait,0.92,12,0.14,1,Active,NORMAL
WCU-02-4-WC-12-Mo,2,2026-01-15,WC-12,Morning,8,7.53,77.42,0.47,Setup,1.58,-1,0,2,Active,NORMAL
WCU-02-4-WC-12-Af,2,2026-01-15,WC-12,Afternoon,8,7.36,65.57,0.64,Material Wait,1.44,3,0,3,Active,NORMAL
WCU-02-4-WC-12-Ni,2,2026-01-15,WC-12,Night,8,7.85,73.19,0.15,Material Wait,1.0,17,0,4,Active,NORMAL
WCU-02-4-WC-15-Mo,2,2026-01-15,WC-15,Morning,8,7.91,85.41,0.09,None,1.33,11,0.17,2,Active,NORMAL
